matchid,player,championid,ss1,ss2,role,position,win,kills,deaths,assists,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,totminionskilled,neutralminionskilled,ownjunglekills,enemyjunglekills
50399,10,57,4,3,DUO_SUPPORT,BOT,0,2,6,11,51999,36304,9156,6538,25940,15115,8984,1840,52,0,0,0
50405,5,57,4,3,DUO_SUPPORT,BOT,0,2,10,20,62657,42528,9480,10648,43584,17954,23225,2404,83,0,0,0
50436,4,57,4,14,DUO_SUPPORT,BOT,0,1,5,7,25682,22456,2865,360,14529,2765,10891,872,19,0,0,0
50466,10,57,3,4,DUO_SUPPORT,BOT,0,0,4,2,31722,29853,1869,0,8210,3061,4971,178,16,5,4,1
50499,10,57,4,14,DUO_SUPPORT,BOT,0,0,5,6,28958,26730,1533,694,12987,4817,7799,371,15,2,2,0
50527,2,57,4,3,DUO_SUPPORT,BOT,0,2,6,3,36259,24588,6018,5652,22448,12636,8671,1140,43,0,0,0
50529,4,57,14,4,DUO_SUPPORT,BOT,0,1,2,5,30188,27109,2706,372,10790,3785,6660,344,17,0,0,0
50538,9,57,4,14,DUO_SUPPORT,BOT,0,0,8,2,25378,20568,4263,546,15423,7397,7822,204,10,0,0,0
50539,8,57,4,3,DUO_SUPPORT,BOT,1,2,8,19,51389,49664,1725,0,20904,4206,14692,2005,15,1,0,1
50545,8,57,14,4,DUO_SUPPORT,BOT,1,6,3,12,45470,39615,5172,682,15072,3826,11117,128,24,0,0,0
50570,1,57,3,4,DUO_SUPPORT,BOT,0,1,9,9,32612,20134,6145,6332,24687,11249,13172,266,37,0,0,0
50573,8,57,4,3,DUO_SUPPORT,BOT,0,1,6,14,94900,84499,10134,265,32058,7340,23930,787,59,1,0,1
50599,4,57,3,4,DUO_SUPPORT,BOT,0,0,7,6,54362,42109,5441,6810,23798,11876,10996,925,59,0,0,0
50608,9,57,4,3,DUO_SUPPORT,BOT,1,6,6,15,64999,59767,5231,0,20852,7229,13068,554,42,0,0,0
50646,7,57,4,14,DUO_SUPPORT,BOT,0,1,10,6,62182,56267,5354,559,27762,9647,15918,2196,34,0,0,0
50650,4,57,14,4,DUO_SUPPORT,BOT,0,5,2,9,48280,24598,11664,12018,18069,8123,9687,258,71,2,0,2
