matchid,player,championid,ss1,ss2,role,position,win,kills,deaths,assists,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,totminionskilled,neutralminionskilled,ownjunglekills,enemyjunglekills
23849,5,111,4,3,DUO_SUPPORT,BOT,1,0,0,19,34048,15241,11971,6834,12513,5800,6406,306,37,1,0,1
17026,9,412,4,14,DUO_SUPPORT,BOT,1,5,7,15,20497,13362,6195,939,13103,1932,10518,652,16,2,1,1
97701,7,412,4,14,DUO_SUPPORT,BOT,1,1,6,20,20297,11786,7709,801,21533,5412,15410,710,22,0,0,0
75797,10,201,3,4,DUO_SUPPORT,BOT,1,0,3,16,19335,7464,6443,5427,16897,3887,12754,256,28,0,0,0
36209,3,44,7,4,DUO_SUPPORT,BOT,0,2,5,7,19950,9146,6970,3833,16327,8184,7884,258,37,0,0,0
22624,1,412,14,4,DUO_SUPPORT,BOT,1,6,5,22,38451,22222,11042,5186,21873,11400,10473,0,46,0,0,0
47212,6,201,3,4,DUO_SUPPORT,BOT,1,2,3,15,30891,11025,10560,9306,25719,6924,17174,1620,49,0,0,0
97935,5,201,4,3,DUO_SUPPORT,BOT,0,0,6,12,31780,14772,7882,9125,30018,9326,20332,360,47,1,1,0
68791,6,412,4,3,DUO_SUPPORT,BOT,0,2,6,22,32320,23046,8344,929,30923,12573,17543,806,41,1,0,1
37727,1,412,4,3,DUO_SUPPORT,BOT,1,1,7,5,11422,8539,2883,0,15009,7233,7082,693,20,1,1,0
50594,3,412,4,3,DUO_SUPPORT,BOT,1,0,1,8,14341,9372,4969,0,7896,1263,6633,0,18,1,0,1
44916,9,412,4,3,DUO_SUPPORT,BOT,1,1,0,10,14264,8153,6024,85,6893,1738,5155,0,28,0,0,0
35418,1,412,3,4,DUO_SUPPORT,BOT,0,3,6,22,30629,21557,6933,2138,30929,15541,13811,1575,23,0,0,0
40129,3,201,4,3,DUO_SUPPORT,BOT,0,3,8,16,33921,7871,12573,13476,26926,11391,13506,2028,56,0,0,0
74275,5,98,3,4,DUO_SUPPORT,BOT,0,4,9,15,65585,34929,21724,8930,34343,18261,15334,748,76,8,7,1
71123,4,412,14,4,DUO_SUPPORT,BOT,0,3,6,9,24059,16943,6311,804,17534,5147,12001,385,45,0,0,0
96570,4,412,3,4,DUO_SUPPORT,BOT,0,4,8,18,47450,37229,9118,1102,29548,12070,13823,3653,47,0,0,0
36331,9,412,3,4,DUO_SUPPORT,BOT,1,2,2,17,21662,13590,7903,168,11502,4646,6856,0,42,0,0,0
70933,3,89,4,14,DUO_SUPPORT,BOT,0,1,2,4,25688,10582,7754,7351,14306,8209,5942,154,55,0,0,0
43929,7,223,4,3,DUO_SUPPORT,BOT,1,2,1,11,26319,11163,7070,8086,17478,3566,13100,810,48,0,0,0
31196,4,412,3,4,DUO_SUPPORT,BOT,1,1,3,16,19127,13637,5285,205,17702,5990,10981,730,9,0,0,0
61048,10,201,3,4,DUO_SUPPORT,BOT,0,0,7,18,39137,15484,10685,12967,30469,10350,19023,1095,51,0,0,0
27750,8,89,14,4,DUO_SUPPORT,BOT,0,1,5,10,27562,10812,8391,8359,18957,4687,11906,2363,47,0,0,0
27087,2,412,14,4,DUO_SUPPORT,BOT,0,4,6,7,15424,9891,4964,568,16676,4724,10896,1055,25,0,0,0
36788,8,412,4,14,DUO_SUPPORT,BOT,1,3,5,28,23715,13729,7989,1997,25184,3230,21584,369,40,0,0,0
62175,1,111,4,3,DUO_SUPPORT,BOT,1,2,1,19,25854,15357,7396,3099,10953,3686,7266,0,20,0,0,0
69207,6,44,4,3,DUO_SUPPORT,BOT,1,1,5,19,40143,15109,10434,14599,19956,6359,12752,844,55,0,0,0
38500,2,89,3,4,DUO_SUPPORT,BOT,1,3,1,19,25593,10092,9197,6303,19230,8034,10843,352,47,0,0,0
29573,7,111,4,14,DUO_SUPPORT,BOT,1,4,4,14,33911,14226,10309,9375,17602,2394,15114,94,42,0,0,0
87970,6,89,4,14,DUO_SUPPORT,BOT,0,0,6,7,15060,6829,4690,3539,15879,4009,10940,930,23,0,0,0
34671,9,412,14,4,DUO_SUPPORT,BOT,1,6,4,16,32440,21900,9417,1122,21554,7553,13063,938,44,1,0,1
14252,4,111,4,3,DUO_SUPPORT,BOT,1,0,6,11,33993,16557,10305,7130,14960,2795,11713,450,41,0,0,0
65353,6,44,4,3,DUO_SUPPORT,BOT,0,3,4,11,28960,11799,12202,4958,20584,5292,13178,2113,47,1,0,1
90748,6,89,3,4,DUO_SUPPORT,BOT,0,1,2,3,9698,3929,4403,1365,9646,1750,7649,246,17,0,0,0
41041,10,412,4,3,DUO_SUPPORT,BOT,1,1,2,12,17779,10643,7136,0,8746,3593,4918,234,30,0,0,0
72355,4,412,4,3,DUO_SUPPORT,BOT,0,3,7,14,32318,20697,8496,3123,33823,11312,21779,730,47,2,2,0
36200,2,412,4,3,DUO_SUPPORT,BOT,0,3,10,9,24612,16452,7363,797,25260,6735,15872,2651,34,0,0,0
14408,7,201,14,4,DUO_SUPPORT,BOT,0,3,5,13,23716,8848,7439,7428,22538,10008,12310,219,37,0,0,0
31193,6,412,3,4,DUO_SUPPORT,BOT,0,1,9,11,41087,26261,9695,5130,47880,27518,18482,1879,46,0,0,0
34958,5,412,4,3,DUO_SUPPORT,BOT,1,3,3,14,29640,19304,9992,343,20438,7366,10190,2881,39,0,0,0
13780,1,412,4,14,DUO_SUPPORT,BOT,0,0,6,15,10264,6614,2659,990,26396,15421,9980,994,8,0,0,0
27168,9,412,4,3,DUO_SUPPORT,BOT,0,2,8,14,38337,26662,8084,3590,26118,9620,12942,3555,51,0,0,0
30447,7,223,3,4,DUO_SUPPORT,BOT,0,1,8,15,49106,23121,13761,12223,37062,8390,27990,681,82,0,0,0
57767,3,223,3,4,DUO_SUPPORT,BOT,1,5,8,22,62051,35776,16341,9932,39827,13451,23277,3099,91,3,1,2
57328,5,412,3,4,DUO_SUPPORT,BOT,1,0,4,24,35300,21631,9720,3948,23472,12100,10437,934,58,1,0,1
64908,1,412,4,14,DUO_SUPPORT,BOT,0,1,4,6,27143,18918,5820,2404,20666,8177,10921,1567,52,0,0,0
7837,7,201,3,4,DUO_SUPPORT,BOT,1,0,2,15,30200,10113,10698,9388,20202,6287,11550,2363,41,2,1,1
15551,8,201,3,4,DUO_SUPPORT,BOT,0,2,11,16,40910,19100,10734,11074,43943,10509,29738,3695,49,0,0,0
95788,3,412,4,3,DUO_SUPPORT,BOT,1,2,3,34,21125,13114,3835,4175,18818,7762,10440,615,12,0,0,0
33983,4,412,3,4,DUO_SUPPORT,BOT,1,3,8,12,19564,12010,5871,1682,20359,5895,13891,572,24,0,0,0
53492,10,89,3,4,DUO_SUPPORT,BOT,0,1,8,6,24179,8206,10377,5595,21275,3807,16082,1386,45,0,0,0
52659,2,412,4,3,DUO_SUPPORT,BOT,0,0,5,13,32168,24456,7711,0,18704,11428,6632,643,34,0,0,0
85117,5,412,4,14,DUO_SUPPORT,BOT,1,2,1,20,24763,14600,6557,3606,16881,5684,10273,923,36,0,0,0
75363,5,111,3,4,DUO_SUPPORT,BOT,1,2,4,25,30300,13351,11738,5210,18969,6965,11619,384,41,0,0,0
70416,9,89,4,3,DUO_SUPPORT,BOT,0,3,6,7,25697,12070,7116,6510,18293,6166,9940,2186,41,1,0,1
54669,3,412,4,3,DUO_SUPPORT,BOT,1,2,7,14,30087,21620,8399,67,21832,6105,12013,3713,43,0,0,0
86174,5,412,4,14,DUO_SUPPORT,BOT,0,4,9,11,19881,13352,5804,724,23568,7232,15622,713,37,0,0,0
52713,7,412,14,4,DUO_SUPPORT,BOT,1,3,2,11,11959,6287,5193,478,9634,3120,6498,16,20,0,0,0
57843,1,412,4,3,DUO_SUPPORT,BOT,1,4,7,31,28740,21083,7421,236,28189,8716,17872,1600,26,1,0,1
67374,6,412,4,3,DUO_SUPPORT,BOT,0,4,9,9,14688,11119,3448,120,25318,14697,9414,1206,28,0,0,0
99607,4,412,4,3,DUO_SUPPORT,BOT,1,2,0,18,23424,15083,8340,0,9301,2019,7006,276,29,0,0,0
10051,6,412,4,14,DUO_SUPPORT,BOT,0,4,5,19,26507,19898,5197,1412,33218,15956,17041,220,26,0,0,0
89270,9,201,3,4,DUO_SUPPORT,BOT,0,6,5,23,23572,7195,7239,9137,27392,9395,16361,1635,41,0,0,0
51441,3,201,4,3,DUO_SUPPORT,BOT,0,2,4,19,33968,12972,8981,12014,23622,8447,11088,4086,62,0,0,0
4122,6,89,4,3,DUO_SUPPORT,BOT,1,3,3,22,25479,7353,11098,7027,20018,6050,12989,978,39,0,0,0
18651,3,89,4,14,DUO_SUPPORT,BOT,0,2,8,5,25786,4902,9785,11098,20940,7540,12709,689,51,0,0,0
93642,2,412,3,4,DUO_SUPPORT,BOT,0,2,3,17,24786,19462,5323,0,19527,8738,10255,534,47,0,0,0
11825,4,89,3,4,DUO_SUPPORT,BOT,0,4,9,28,44176,15247,14858,14070,52061,23009,27793,1258,54,1,0,1
39056,2,89,4,3,DUO_SUPPORT,BOT,1,2,2,13,17847,4801,6901,6143,11422,3037,6385,2000,27,0,0,0
57153,1,412,14,4,DUO_SUPPORT,BOT,0,2,10,11,22096,15203,5396,1495,29051,7888,20189,973,38,0,0,0
98804,5,412,4,7,DUO_SUPPORT,BOT,0,3,7,30,93450,75170,17335,945,47792,19141,24646,4004,63,0,0,0
81612,5,89,4,14,DUO_SUPPORT,BOT,1,3,3,14,23361,10844,8682,3835,14984,4823,9809,351,28,0,0,0
9330,7,412,3,4,DUO_SUPPORT,BOT,0,0,2,6,11012,8195,2816,0,12372,5294,6449,628,25,0,0,0
90709,7,412,14,4,DUO_SUPPORT,BOT,1,7,9,17,15502,11080,3490,932,27470,8299,18748,422,11,0,0,0
23850,6,412,4,3,DUO_SUPPORT,BOT,0,3,9,5,14073,7336,3760,2976,20476,10451,9734,290,17,0,0,0
57895,10,412,4,3,DUO_SUPPORT,BOT,0,1,11,14,32196,21185,10936,75,28404,14997,13027,380,47,0,0,0
42545,9,201,3,4,DUO_SUPPORT,BOT,0,0,8,5,24629,9533,7406,7689,27215,7727,18932,554,42,0,0,0
13818,9,412,4,3,DUO_SUPPORT,BOT,0,2,9,15,24491,19799,4499,192,29645,11272,17510,861,20,0,0,0
85809,8,412,4,14,DUO_SUPPORT,BOT,1,1,4,8,6888,5040,1848,0,12560,5797,6688,75,12,0,0,0
63040,6,98,3,4,DUO_SUPPORT,BOT,0,1,5,2,12223,2903,6886,2433,13172,5099,7820,253,28,0,0,0
48612,3,412,4,14,DUO_SUPPORT,BOT,0,2,4,6,31920,19847,7933,4139,15927,8916,5964,1047,37,1,0,1
57079,5,111,3,4,DUO_SUPPORT,BOT,1,0,1,4,13537,6229,4431,2876,4792,595,4197,0,29,0,0,0
81296,10,111,4,14,DUO_SUPPORT,BOT,1,7,7,11,81060,45583,23422,12053,26865,7213,17285,2366,68,0,0,0
4173,8,412,4,3,DUO_SUPPORT,BOT,0,0,8,10,20219,14716,5441,62,29246,8643,19944,658,34,2,2,0
30634,8,89,3,4,DUO_SUPPORT,BOT,1,0,5,17,39523,16557,13511,9454,22499,7719,14702,78,70,1,0,1
16940,8,201,4,3,DUO_SUPPORT,BOT,0,0,6,10,23472,9826,8229,5416,28738,8763,19332,642,41,0,0,0
32103,1,412,3,4,DUO_SUPPORT,BOT,0,2,4,3,9147,5584,3562,0,14232,2919,9897,1414,10,0,0,0
12857,10,111,4,3,DUO_SUPPORT,BOT,1,0,0,6,17557,4552,7584,5420,6704,2511,4192,0,42,0,0,0
35910,8,89,4,3,DUO_SUPPORT,BOT,1,2,10,22,33601,14084,11743,7773,24482,4968,18961,553,53,0,0,0
60524,3,412,4,3,DUO_SUPPORT,BOT,1,2,8,24,29345,22578,6274,492,28444,8557,19646,240,39,0,0,0
48875,7,44,4,14,DUO_SUPPORT,BOT,1,0,2,7,17284,2096,9117,6070,12829,4348,8381,100,31,0,0,0
59508,6,412,14,4,DUO_SUPPORT,BOT,0,3,9,32,55970,37354,13204,5411,57676,23848,32149,1678,48,1,0,1
71321,6,89,4,3,DUO_SUPPORT,BOT,1,6,5,14,31870,13973,9485,8410,23137,5627,15848,1661,39,0,0,0
71384,4,412,4,14,DUO_SUPPORT,BOT,1,4,5,7,15837,12046,2054,1736,16146,6009,9342,794,10,0,0,0
66771,1,201,4,3,DUO_SUPPORT,BOT,0,1,9,26,26128,10840,7386,7900,36240,12311,22803,1125,40,0,0,0
55118,5,412,3,4,DUO_SUPPORT,BOT,1,5,4,22,26610,17376,9234,0,21597,8867,11848,881,31,0,0,0
41116,8,201,4,3,DUO_SUPPORT,BOT,0,1,3,1,16866,6734,5598,4533,12944,3502,9041,400,27,0,0,0
22940,9,412,3,4,DUO_SUPPORT,BOT,0,1,8,3,18482,14128,4354,0,19261,7649,11157,454,36,0,0,0
